lemma,pos,cefr_level,cefr_source,frequency_rank,topic_hint,in_tsl,tsl_rank,ngsl_rank,bsl_rank
client,noun,B2,cefrj,3,business_office,yes,3,,14
supervisor,noun,B2,cefrj,13,business_office,yes,13,,338
brochure,noun,B2,cefrj,20,business_office,yes,20,,1531
lobby,noun,B2,cefrj,24,business_office,yes,24,,210
applicant,noun,B2,cefrj,28,business_office,yes,28,,310
seminar,noun,B2,cefrj,29,business_office,yes,29,,1169
infer,verb,B2,cefrj,39,,yes,39,,
rental,noun,B2,cefrj,41,business_office,yes,41,,243
lease,noun,B2,cefrj,48,business_office,yes,48,,10
manual,adjective,B2,cefrj,55,business_office,yes,55,,418
manual,noun,B2,cefrj,55,business_office,yes,55,,418
oval,adjective,B2,cefrj,59,,yes,59,,
postpone,verb,B2,cefrj,65,business_office,yes,65,,951
contradict,verb,B2,cefrj,66,,yes,66,,
inference,noun,B2,cefrj,68,business_office,yes,68,,1576
merchandise,noun,B2,cefrj,71,business_office,yes,71,,125
identification,noun,B2,cefrj,74,business_office,yes,74,,416
upgrade,noun,B2,cefrj,80,business_office,yes,80,,409
upgrade,verb,B2,cefrj,80,business_office,yes,80,,409
precede,verb,B2,cefrj,81,business_office,yes,81,,365
replacement,noun,B2,cefrj,82,business_office,yes,82,,179
cabinet,noun,B2,cefrj,87,business_office,yes,87,,227
media,noun,B2,cefrj,92,business_office,yes,92,,22
valid,adjective,B2,cefrj,94,business_office,yes,94,,280
laptop,noun,B2,cefrj,96,business_office,yes,96,,1270
cruise,verb,B2,cefrj,103,business_office,yes,103,,1659
comprehension,noun,B2,cefrj,106,,yes,106,,
medication,noun,B2,cefrj,108,,yes,108,,
donation,noun,B2,cefrj,127,business_office,yes,127,,1103
feedback,noun,B2,cefrj,128,business_office,yes,128,,185
inspect,verb,B2,cefrj,139,business_office,yes,139,,1455
merger,noun,B2,cefrj,141,business_office,yes,141,,25
eligible,adjective,B2,cefrj,150,business_office,yes,150,,361
certificate,noun,B2,cefrj,159,business_office,yes,159,,201
overtime,adverb,B2,cefrj,164,business_office,yes,164,,1366
