lemma,pos,cefr_level,cefr_source,frequency_rank,topic_hint,in_tsl,tsl_rank,ngsl_rank,bsl_rank
logical,adjective,A2,cefrj,8,business_office,yes,8,,628
downtown,adverb,A2,cefrj,17,,yes,17,,
noon,noun,A2,cefrj,21,,yes,21,,
clerk,noun,A2,cefrj,23,,yes,23,,
publish,verb,A2,cefrj,25,business_office,yes,25,,19
fare,noun,A2,cefrj,32,business_office,yes,32,,412
receipt,noun,A2,cefrj,33,business_office,yes,33,,118
traveler,noun,A2,cefrj,34,business_office,yes,34,,1001
cafeteria,noun,A2,cefrj,43,,yes,43,,
chef,noun,A2,cefrj,44,,yes,44,,
elevator,noun,A2,cefrj,45,,yes,45,,
correctly,adverb,A2,cefrj,47,business_office,yes,47,,536
convenient,adjective,A2,cefrj,54,business_office,yes,54,,662
clue,noun,A2,cefrj,56,business_office,yes,56,,1537
garage,noun,A2,cefrj,57,,yes,57,,
suitcase,noun,A2,cefrj,62,,yes,62,,
occupation,noun,A2,cefrj,64,business_office,yes,64,,522
receptionist,noun,A2,cefrj,72,,yes,72,,
dentist,noun,A2,cefrj,73,,yes,73,,
cruise,noun,A2,cefrj,103,business_office,yes,103,,1659
mall,noun,A2,cefrj,107,business_office,yes,107,,1484
recycle,verb,A2,cefrj,109,business_office,yes,109,,708
folder,noun,A2,cefrj,122,,yes,122,,
calendar,noun,A2,cefrj,126,business_office,yes,126,,672
snack,noun,A2,cefrj,130,,yes,130,,
aisle,noun,A2,cefrj,138,,yes,138,,
sweater,noun,A2,cefrj,143,,yes,143,,
convenience,noun,A2,cefrj,149,business_office,yes,149,,689
indoor,adjective,A2,cefrj,151,,yes,151,,
container,noun,A2,cefrj,154,business_office,yes,154,,818
drawer,noun,A2,cefrj,155,,yes,155,,
highway,noun,A2,cefrj,161,business_office,yes,161,,1345
battery,noun,A2,cefrj,165,business_office,yes,165,,700
dessert,noun,A2,cefrj,170,,yes,170,,
impact,noun,A2,cefrj,171,business_office,yes,171,,15
photographer,noun,A2,cefrj,182,,yes,182,,
download,verb,A2,cefrj,189,business_office,yes,189,,258
stadium,noun,A2,cefrj,192,,yes,192,,
weekday,noun,A2,cefrj,194,,yes,194,,
bonus,noun,A2,cefrj,195,business_office,yes,195,,149
cleaner,noun,A2,cefrj,201,business_office,yes,201,,1372
annoy,verb,A2,cefrj,219,,yes,219,,
quit,verb,A2,cefrj,223,business_office,yes,223,,713
captain,noun,A2,cefrj,226,business_office,yes,226,,1687
bargain,noun,A2,cefrj,230,business_office,yes,230,,127
hike,noun,A2,cefrj,232,,yes,232,,
midnight,noun,A2,cefrj,233,,yes,233,,
unhappy,adjective,A2,cefrj,239,business_office,yes,239,,1229
lamp,noun,A2,cefrj,247,,yes,247,,
worldwide,adverb,A2,cefrj,253,business_office,yes,253,,145
painter,noun,A2,cefrj,268,,yes,268,,
cab,noun,A2,cefrj,283,,yes,283,,
photography,noun,A2,cefrj,286,,yes,286,,
anniversary,noun,A2,cefrj,288,business_office,yes,288,,1058
textbook,noun,A2,cefrj,302,business_office,yes,302,,648
semester,noun,A2,cefrj,308,,yes,308,,
polite,adjective,A2,cefrj,321,,yes,321,,
wallet,noun,A2,cefrj,328,,yes,328,,
drill,noun,A2,cefrj,331,business_office,yes,331,,819
lane,noun,A2,cefrj,334,,yes,334,,
bench,noun,A2,cefrj,340,,yes,340,,
prediction,noun,A2,cefrj,349,business_office,yes,349,,208
oven,noun,A2,cefrj,371,,yes,371,,
refrigerator,noun,A2,cefrj,374,,yes,374,,
windy,adjective,A2,cefrj,387,,yes,387,,
leisure,noun,A2,cefrj,405,business_office,yes,405,,871
automatic,adjective,A2,cefrj,436,business_office,yes,436,,563
glove,noun,A2,cefrj,443,,yes,443,,
brake,noun,A2,cefrj,458,,yes,458,,
inexpensive,adjective,A2,cefrj,483,,yes,483,,
soap,noun,A2,cefrj,490,,yes,490,,
bake,verb,A2,cefrj,494,,yes,494,,
kilometer,noun,A2,cefrj,500,,yes,500,,
statue,noun,A2,cefrj,535,,yes,535,,
basket,noun,A2,cefrj,541,business_office,yes,541,,848
dislike,noun,A2,cefrj,544,business_office,yes,544,,806
downstairs,adverb,A2,cefrj,545,,yes,545,,
jam,noun,A2,cefrj,548,,yes,548,,
upstairs,adverb,A2,cefrj,557,,yes,557,,
businessman,noun,A2,cefrj,566,business_office,yes,566,,195
colorful,adjective,A2,cefrj,568,,yes,568,,
lunchtime,noun,A2,cefrj,580,,yes,580,,
harmful,adjective,A2,cefrj,602,,yes,602,,
kit,noun,A2,cefrj,605,,yes,605,,
unnecessary,adjective,A2,cefrj,621,business_office,yes,621,,982
balcony,noun,A2,cefrj,626,,yes,626,,
earthquake,noun,A2,cefrj,632,business_office,yes,632,,1389
runner,noun,A2,cefrj,649,,yes,649,,
sock,noun,A2,cefrj,650,,yes,650,,
surf,verb,A2,cefrj,652,,yes,652,,
timetable,noun,A2,cefrj,653,business_office,yes,653,,1660
campus,noun,A2,cefrj,662,business_office,yes,662,,1220
invention,noun,A2,cefrj,681,business_office,yes,681,,670
smoothly,adverb,A2,cefrj,690,,yes,690,,
fry,noun,A2,cefrj,717,,yes,717,,
junk,noun,A2,cefrj,724,business_office,yes,724,,778
noisy,adjective,A2,cefrj,727,,yes,727,,
pan,noun,A2,cefrj,728,business_office,yes,728,,1303
pasta,noun,A2,cefrj,730,,yes,730,,
pill,noun,A2,cefrj,732,business_office,yes,732,,1323
rumor,noun,A2,cefrj,738,business_office,yes,738,,519
scarf,noun,A2,cefrj,739,,yes,739,,
seaside,noun,A2,cefrj,740,,yes,740,,
spill,verb,A2,cefrj,743,business_office,yes,743,,1501
asleep,adjective,A2,cefrj,752,,yes,752,,
creativity,noun,A2,cefrj,762,business_office,yes,762,,856
silently,adverb,A2,cefrj,789,,yes,789,,
tidy,adjective,A2,cefrj,796,,yes,796,,
tidy,verb,A2,cefrj,796,,yes,796,,
energetic,adjective,A2,cefrj,817,,yes,817,,
escalator,noun,A2,cefrj,819,,yes,819,,
junior,adjective,A2,cefrj,828,business_office,yes,828,,933
lifestyle,noun,A2,cefrj,829,business_office,yes,829,,990
steak,noun,A2,cefrj,840,,yes,840,,
uncomfortable,adjective,A2,cefrj,844,,yes,844,,
barbecue,noun,A2,cefrj,848,,yes,848,,
beginner,noun,A2,cefrj,849,,yes,849,,
blanket,noun,A2,cefrj,851,,yes,851,,
cooler,noun,A2,cefrj,855,,yes,855,,
balloon,noun,A2,cefrj,891,,yes,891,,
bug,noun,A2,cefrj,893,business_office,yes,893,,1735
elephant,noun,A2,cefrj,906,,yes,906,,
fortunately,adverb,A2,cefrj,912,,yes,912,,
ray,noun,A2,cefrj,936,business_office,yes,936,,1211
skate,noun,A2,cefrj,945,,yes,945,,
sleepy,adjective,A2,cefrj,947,,yes,947,,
thunderstorm,noun,A2,cefrj,951,,yes,951,,
brainstorm,noun,A2,cefrj,961,,yes,961,,
flour,noun,A2,cefrj,982,,yes,982,,
fog,noun,A2,cefrj,983,,yes,983,,
gram,noun,A2,cefrj,985,,yes,985,,
headphone,noun,A2,cefrj,987,,yes,987,,
loudly,adverb,A2,cefrj,993,,yes,993,,
reunion,noun,A2,cefrj,1008,,yes,1008,,
seafood,noun,A2,cefrj,1010,,yes,1010,,
unpleasant,adjective,A2,cefrj,1019,,yes,1019,,
violin,noun,A2,cefrj,1020,,yes,1020,,
centimeter,noun,A2,cefrj,1034,,yes,1034,,
comb,noun,A2,cefrj,1036,,yes,1036,,
kilogram,noun,A2,cefrj,1059,,yes,1059,,
pollute,verb,A2,cefrj,1069,,yes,1069,,
someday,adverb,A2,cefrj,1083,,yes,1083,,
wheelchair,noun,A2,cefrj,1094,,yes,1094,,
wool,noun,A2,cefrj,1096,,yes,1096,,
countryside,noun,A2,cefrj,1116,business_office,yes,1116,,1216
diamond,noun,A2,cefrj,1123,business_office,yes,1123,,996
euro,noun,A2,cefrj,1132,business_office,yes,1132,,37
forbid,verb,A2,cefrj,1133,business_office,yes,1133,,1362
fork,noun,A2,cefrj,1134,,yes,1134,,
impatient,adjective,A2,cefrj,1140,,yes,1140,,
pepper,noun,A2,cefrj,1160,,yes,1160,,
raincoat,noun,A2,cefrj,1165,,yes,1165,,
scenery,noun,A2,cefrj,1174,,yes,1174,,
sew,verb,A2,cefrj,1176,,yes,1176,,
thirsty,adjective,A2,cefrj,1183,,yes,1183,,
bulb,noun,A2,cefrj,1202,,yes,1202,,
cheer,verb,A2,cefrj,1204,business_office,yes,1204,,1207
inspiration,noun,A2,cefrj,1224,,yes,1224,,
